DevelopmentID,departmentID,initiative_type,initiative_date
263,323,id nisl venenatis lacinia aenean sit amet justo morbi ut,1410-10-05
264,237,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,1212-02-18
265,321,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,1263-06-14
266,126,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,1558-05-02
267,337,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,1684-08-12
268,262,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,1756-07-19
269,161,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,1813-04-08
270,193,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,1479-07-29
271,22,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,1923-12-04
272,106,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,1434-07-17
273,394,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,1843-11-06
274,299,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,1455-03-28
275,307,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,1329-10-26
276,381,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,1783-07-14
277,113,proin at turpis a pede posuere nonummy integer non velit donec diam neque,1541-12-09
278,269,dapibus duis at velit eu est congue elementum in hac,1625-10-05
279,72,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,1802-03-10
280,106,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,1604-06-29
281,375,porta volutpat erat quisque erat eros viverra eget congue eget,1601-01-14
282,330,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,1683-07-07
283,284,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,1995-01-01
284,215,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,1928-01-25
285,57,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,1407-02-27
286,311,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,1762-05-27
287,356,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,1991-01-26
288,262,proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,1390-05-02
289,94,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,1734-07-23
290,319,non mi integer ac neque duis bibendum morbi non quam,1930-01-11
291,189,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,1605-04-08
292,195,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,1855-07-02
293,265,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,1239-05-15
294,396,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,1428-04-26
295,289,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,1568-11-12
296,252,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,1314-09-22
297,83,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,1796-03-29
298,38,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,1430-07-06
299,377,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,1718-01-07
300,212,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,1207-10-15
301,332,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,1236-12-08
302,251,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,1339-02-26
303,314,sed tristique in tempus sit amet sem fusce consequat nulla,1365-01-24
304,44,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam,1295-09-07
305,140,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,1887-10-21
306,367,phasellus sit amet erat nulla tempus vivamus in felis eu sapien,1511-07-01
307,233,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante,1513-05-08
308,136,vulputate elementum nullam varius nulla facilisi cras non velit nec,1604-10-13
309,35,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,1861-10-03
310,389,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,1986-07-05
311,141,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,1981-12-27
312,245,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,1230-09-12
313,122,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,1382-03-14
314,252,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,1589-06-02
315,190,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,1790-10-02
316,219,lacus at turpis donec posuere metus vitae ipsum aliquam non,1806-05-18
317,166,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,2011-07-15
318,189,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,1568-03-29
319,196,nunc vestibulum ante ipsum primis in faucibus orci luctus et,1207-02-21
320,348,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,1223-07-25
321,150,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,1404-04-09
322,327,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,1515-12-24
323,361,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,1291-03-03
324,395,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,1532-08-16
325,121,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,1807-08-31
326,227,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,1471-04-12
327,357,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,1540-12-19
328,123,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,1551-11-05
329,2,arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,1737-09-18
330,16,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,1710-05-04
331,345,lectus pellentesque eget nunc donec quis orci eget orci vehicula,1359-05-14
332,153,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,1203-09-11
333,139,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,1880-09-17
334,391,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,1996-07-28
335,396,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,1279-09-08
336,395,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,1596-10-02
337,317,dui nec nisi volutpat eleifend donec ut dolor morbi vel,1839-01-30
338,345,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,1621-09-13
339,296,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,1676-04-27
340,89,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,1737-03-22
341,394,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,1903-06-30
342,170,sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum,1968-11-17
343,121,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,1298-09-16
344,27,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,2003-08-23
345,28,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,2019-09-26
346,370,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque,1926-02-03
347,168,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,1327-08-13
348,159,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,1949-01-26
349,234,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,1399-05-20
350,267,id massa id nisl venenatis lacinia aenean sit amet justo morbi,1643-05-01
351,352,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,1590-10-30
352,179,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis,1905-06-03
353,367,suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,1777-11-20
354,208,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,1634-11-28
355,376,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,1655-01-23
356,183,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,1306-11-03
357,101,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,1289-04-07
358,155,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,1825-02-07
359,274,fermentum justo nec condimentum neque sapien placerat ante nulla justo,1748-09-08
360,330,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,1844-11-16
361,120,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,1474-04-19
362,112,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,1822-02-18
363,39,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,1582-11-02
364,331,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,1731-08-17
365,51,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,1480-03-20
366,175,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,1717-12-07
367,394,at feugiat non pretium quis lectus suspendisse potenti in eleifend,1226-12-16
368,242,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,1931-08-26
369,281,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum,2002-01-17
370,208,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,1658-10-26
371,44,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,1918-06-01
372,30,nibh fusce lacus purus aliquet at feugiat non pretium quis,1358-11-22
373,48,odio donec vitae nisi nam ultrices libero non mattis pulvinar,1667-06-18
374,89,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam,1961-04-06
375,10,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,1542-10-18
376,351,lorem quisque ut erat curabitur gravida nisi at nibh in hac,1961-01-12
377,88,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,1872-03-31
378,206,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,1597-02-01
379,106,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,1483-08-26
380,82,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,1502-02-07
381,302,at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,1784-08-20
382,12,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,1392-01-20
383,390,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,1742-07-11
384,58,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,1661-12-12
385,178,lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,1476-09-10
386,216,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,1882-04-12
387,47,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,1448-10-14
388,161,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,1478-10-21
389,283,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut,1754-01-28
390,181,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,1417-11-19
391,294,morbi a ipsum integer a nibh in quis justo maecenas,1720-09-30
392,253,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,1670-05-24
393,153,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,1541-03-01
394,216,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,1337-07-21
395,29,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,1747-11-20
396,349,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,1874-08-21
397,111,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in,1812-05-22
398,35,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,1690-05-21
399,169,congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,1948-04-23
400,223,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,1712-02-29
